"월간","국고채(1년)"
"2000.02",8.53
"2000.03",8.35
"2000.04",8.34
"2000.05",8.34
"2000.06",8.24
"2000.07",7.56
"2000.08",7.2
"2000.09",7.26
"2000.10",7.13
"2000.11",6.96
"2000.12",6.67
"2001.01",6.04
"2001.02",5.51
"2001.03",5.81
"2001.04",6.2
"2001.05",6.1
"2001.06",5.8
"2001.07",5.47
"2001.08",5.05
"2001.09",4.75
"2001.10",4.42
"2001.11",4.88
"2001.12",5.34
"2002.01",5.23
"2002.02",4.96
"2002.03",5.26
"2002.04",5.42
"2002.05",5.42
"2002.06",5.38
"2002.07",5.34
"2002.08",5.04
"2002.09",5.03
"2002.10",5.14
"2002.11",5.04
"2002.12",5.03
"2003.01",4.79
"2003.02",4.63
"2003.03",4.72
"2003.04",4.6
"2003.05",4.3
"2003.06",4.28
"2003.07",4.27
"2003.08",4.15
"2003.09",4.07
"2003.10",4.11
"2003.11",4.47
"2003.12",4.67
"2004.01",4.6
"2004.02",4.42
"2004.03",4.25
"2004.04",4.13
"2004.05",4.07
"2004.06",4.12
"2004.07",4.06
"2004.08",3.73
"2004.09",3.5
"2004.10",3.48
"2004.11",3.34
"2004.12",3.28
"2005.01",3.48
"2005.02",3.48
"2005.03",3.82
"2005.04",3.71
"2005.05",3.6
"2005.06",3.66
"2005.07",3.77
"2005.08",3.88
"2005.09",4.19
"2005.10",4.44
"2005.11",4.57
"2005.12",4.67
"2006.01",4.62
"2006.02",4.57
"2006.03",4.57
"2006.04",4.61
"2006.05",4.59
"2006.06",4.7
"2006.07",4.82
"2006.08",4.76
"2006.09",4.68
"2006.10",4.64
"2006.11",4.7
"2006.12",4.85
"2007.01",4.98
"2007.02",4.96
"2007.03",4.89
"2007.04",4.97
"2007.05",5.11
"2007.06",5.15
"2007.07",5.29
"2007.08",5.3
"2007.09",5.39
"2007.10",5.34
"2007.11",5.36
"2007.12",5.6
"2008.01",5.47
"2008.02",5
"2008.03",5.05
"2008.04",5.06
"2008.05",5.07
"2008.06",5.22
"2008.07",5.41
"2008.08",5.44
"2008.09",5.48
"2008.10",5.2
"2008.11",5.03
"2008.12",3.99
"2009.01",2.72
"2009.02",2.36
"2009.03",2.51
"2009.04",2.49
"2009.05",2.56
"2009.06",2.85
"2009.07",2.75
"2009.08",3.14
"2009.09",3.44
"2009.10",3.52
"2009.11",3.28
"2009.12",3.3
"2010.01",3.29
"2010.02",3.12
"2010.03",2.83
"2010.04",2.67
"2010.05",2.73
"2010.06",2.92
"2010.07",3.14
"2010.08",3.13
"2010.09",2.99
"2010.10",2.8
"2010.11",2.92
"2010.12",2.87
"2011.01",3.09
"2011.02",3.39
"2011.03",3.42
"2011.04",3.43
"2011.05",3.43
"2011.06",3.49
"2011.07",3.59
"2011.08",3.5
"2011.09",3.41
"2011.10",3.46
"2011.11",3.42
"2011.12",3.4
"2012.01",3.39
"2012.02",3.41
"2012.03",3.47
"2012.04",3.45
"2012.05",3.37
"2012.06",3.29
"2012.07",3.02
"2012.08",2.84
"2012.09",2.85
"2012.10",2.81
"2012.11",2.79
"2012.12",2.8
"2013.01",2.72
"2013.02",2.68
"2013.03",2.6
"2013.04",2.58
"2013.05",2.59
"2013.06",2.66
"2013.07",2.66
"2013.08",2.66
"2013.09",2.67
"2013.10",2.66
"2013.11",2.705
"2013.12",2.685
"2014.01",2.657
"2014.02",2.64
"2014.03",2.659
"2014.04",2.653
"2014.05",2.641
"2014.06",2.602
"2014.07",2.488
"2014.08",2.389
"2014.09",2.277
"2014.10",2.134
"2014.11",2.047
"2014.12",2.072
"2015.01",1.995
"2015.02",1.981
"2015.03",1.838
"2015.04",1.703
"2015.05",1.746
"2015.06",1.63
"2015.07",1.597
"2015.08",1.582
"2015.09",1.553
"2015.10",1.546
"2015.11",1.631
"2015.12",1.635
"2016.01",1.587
"2016.02",1.469
"2016.03",1.507
"2016.04",1.493
"2016.05",1.48
"2016.06",1.361
"2016.07",1.26
"2016.08",1.265
"2016.09",1.322
"2016.10",1.369
"2016.11",1.511
"2016.12",1.576
"2017.01",1.496
"2017.02",1.465
"2017.03",1.485
"2017.04",1.467
"2017.05",1.464
"2017.06",1.461
"2017.07",1.464
"2017.08",1.471
"2017.09",1.481
"2017.10",1.654
"2017.11",1.787
"2017.12",1.833
"2018.01",1.839
"2018.02",1.851
"2018.03",1.875
"2018.04",1.873
"2018.05",1.887
"2018.06",1.851
"2018.07",1.842
"2018.08",1.83
"2018.09",1.79
"2018.10",1.853
"2018.11",1.844
"2018.12",1.776
"2019.01",1.733
"2019.02",1.76
"2019.03",1.769
"2019.04",1.751
"2019.05",1.711
"2019.06",1.56
"2019.07",1.478
"2019.08",1.186
"2019.09",1.228
"2019.10",1.298
"2019.11",1.386
"2019.12",1.35
"2020.01",1.316
"2020.02",1.214
"2020.03",1.03
"2020.04",0.893
"2020.05",0.779
"2020.06",0.719
"2020.07",0.689
"2020.08",0.671
"2020.09",0.705
"2020.10",0.68
"2020.11",0.7
"2020.12",0.719
"2021.01",0.695
"2021.02",0.671
"2021.03",0.684
"2021.04",0.659
"2021.05",0.611
"2021.06",0.798
"2021.07",0.91
"2021.08",1.001
"2021.09",1.073
"2021.10",1.178
"2021.11",1.339
