"³â","¿ù","¸¶´Ã"
2001,1,35520
2001,2,36708
2001,3,36296
2001,4,34758
2001,5,27944
2001,6,26900
2001,7,31077
2001,8,32793
2001,9,33520
2001,10,33725
2001,11,34108
2001,12,34696
2002,1,36852
2002,2,44000
2002,3,46416
2002,4,45768
2002,5,42911
2002,6,38061
2002,7,36736
2002,8,35977
2002,9,36000
2002,10,36000
2002,11,36185
2002,12,36448
2003,1,37731
2003,2,41991
2003,3,44462
2003,4,46031
2003,5,44504
2003,6,40184
2003,7,37533
2003,8,38246
2003,9,43875
2003,10,45422
2003,11,46608
2003,12,50469
2004,1,56748
2004,2,56800
2004,3,56916
2004,4,58800
2004,5,57761
2004,6,44687
2004,7,41200
2004,8,42129
2004,9,43071
2004,10,43200
2004,11,43200
2004,12,44300
2005,1,46692
2005,2,47583
2005,3,48956
2005,4,47877
2005,5,45262
2005,6,43462
2005,7,41673
2005,8,38644
2005,9,37785
2005,10,38115
2005,11,39100
2005,12,40244
2006,1,42097
2006,2,43000
2006,3,43548
2006,4,42912
2006,5,39363
2006,6,35477
2006,7,35438
2006,8,39696
2006,9,43477
2006,10,44185
2006,11,44646
2006,12,45477
2007,1,47089
2007,2,49600
2007,3,48978
2007,4,53216
2007,5,63139
2007,6,41981
2007,7,40492
2007,8,41644
2007,9,42000
2007,10,42267
2007,11,42246
2007,12,42646
2008,1,42326
2008,2,42800
2008,3,43477
2008,4,44000
2008,5,40044
2008,6,33552
2008,7,32593
2008,8,32969
2008,9,35862
2008,10,36637
2008,11,36400
2008,12,36444
2009,1,35800
2009,2,36543
2009,3,37080
2009,4,36772
2009,5,36419
2009,6,34823
2009,7,37815
2009,8,42392
2009,9,47008
2009,10,47674
2009,11,47680
2009,12,51156
2010,1,54677
2010,2,56467
2010,3,54823
2010,4,54500
2010,5,66015
2010,6,69746
2010,7,94904
2010,8,112415
2010,9,126774
2010,10,124062
2010,11,118438
2010,12,114177
2011,1,113585
2011,2,116157
2011,3,116192
2011,4,108246
2011,5,94631
2011,6,85398
2011,7,82615
2011,8,67467
2011,9,67423
2011,10,71292
2011,11,71871
2011,12,73632
2012,1,73935
2012,2,73407
2012,3,79097
2012,4,89813
2012,5,90220
2012,6,80567
2012,7,79900
2012,8,79333
2012,9,79433
2012,10,79800
2012,11,79490
2012,12,78800
2013,1,77219
2013,2,77652
2013,3,78735
2013,4,78687
2013,5,75994
2013,6,34098
2013,7,27058
2013,8,25690
2013,9,25962
2013,10,27116
2013,11,27800
2013,12,27587
2014,1,27707
2014,2,27800
2014,3,27529
2014,4,27400
2014,5,27439
2014,6,27707
2014,7,33284
2014,8,33723
2014,9,33400
2014,10,33917
2014,11,33586
2014,12,33800
2015,1,34097
2015,2,34600
2015,3,35039
2015,4,34880
2015,5,35400
2015,6,39627
2015,7,48142
2015,8,46110
2015,9,45907
2015,10,51581
2015,11,55710
2015,12,57166
2016,1,58523
2016,2,60279
2016,3,57871
2016,4,57960
2016,5,62493
2016,6,62773
2016,7,59832
2016,8,58361
2016,9,59193
2016,10,60079
2016,11,61200
2016,12,62600
2017,1,62600
2017,2,64636
2017,3,63619
2017,4,63540
2017,5,61865
2017,6,62093
2017,7,60300
2017,8,58619
2017,9,58600
2017,10,58470
2017,11,58000
2017,12,58000
2018,1,58000
2018,2,58000
2018,3,57973
2018,4,57476
2018,5,57043
2018,6,57802
2018,7,56142
2018,8,53600
2018,9,53266
2018,10,52325
2018,11,51960
2018,12,52587
2019,1,52600
2019,2,51523
2019,3,50600
2019,4,51000
2019,5,51000
2019,6,48261
2019,7,39026
2019,8,34535
2019,9,33200
2019,10,33200
2019,11,33446
2019,12,33200
2020,1,33078
2020,2,32000
2020,3,32000
2020,4,32000
2020,5,31650
2020,6,29610
